Sample ID,PX,PY
r978,130.258981,307.581309
r979,211.143026,398.174886
r980,70.0356606,328.584425
r981,143.016024,366.555972
r982,47.2904892,101.593094
r983,149.000481,154.712713
r984,230.633951,149.376861
r985,153.106359,189.323098
r986,96.7335066,149.59089
r987,252.888404,399.263002
r988,70.2286684,348.640885
r989,104.634736,398.811296
r990,251.789955,348.408326
r991,220.124757,342.41847
r992,63.446306,453.002495
r993,235.736084,108.009493
r994,246.014327,361.795549
r995,68.1177519,440.667073
r996,72.975319,151.681019
r997,171.581679,76.0517794
r998,54.167116,136.148816
r999,158.92559,179.6204
r1000,41.7802055,439.755584
